KEY,English,Vietnamese,Russian,Japanese,Korean
language,English,Vietnamese,Russian,Japanese,Korean
Hdimg,Headphone recommended,Dùng tai nghe để có trải nghiệm tốt nhất,,ヘッドフォンのご利用をお勧めいたします,
playbg,Play,Chọn,Play,遊ぶ,Play
hot,HOT,HOT,,ホット,
splash_accept,Accept,Xác nhận,,はい,
more_song,More songs are coming…,Các bài hát mới sẽ được cập nhật liên tục,,,
new,NEW,MỚI,,新た,
newbest,New Best,Kỉ lục,,最新最高,
resultscene_videoreward,Get free diamonds,Nhận kim cương miễn phí,,無料でダイヤモンドを取得しましょう,
resultscene_loginbutton,Log in Facebook,Đăng nhập Facebook,,Facebookでログインする,
resultscene_loginmessage,to show who has the highest score,để xem ai giành được điểm cao nhất,,最高得点の保持者を表示する,
resultscene_postingtoFB,Posting to Facebook…,Đang gửi…,,Facebookに投稿しています…,
resultscene_successfullyposted,Done,Xong,,完了,
resultscene_failedtopost,Posting failed,Không gửi được,,投稿できませんでした,
resultscene_needpublishpermission,Need additional permission,Bạn phải cấp quyền để gửi được ảnh,,追加で権限が必要です,
resultscene_notlogin,You need to log in to Facebook,Bạn chưa đăng nhập Facebook,,Facebookでログインする必要があります,
sharemessage_part1,Aww yeah!!! I've just reached a new highscore of,"Yeahhhhhh, vừa đạt",,やりました!!! 次のレベルで最高新記録を打ち出しました！,
sharemessage_part2,for the song,điểm trong bài,,曲のために,
sharemessage_part3,". Feel so good, man.",. Quá đã.,,「。最高です。」,
sharemessage_part4,You should try this game too,Thử không mọi người?,,このゲームで遊んでみてください,
tips1,"If the game is lagging, you can try enabling the ""Performance"" mode in setting scene","Nếu game chạy không mượt, bạn có thể thử kích hoạt tính năng “Tăng tốc game” trong màn hình Setting",,ゲームに遅延がある場合は、シーン設定から「パフォーマンス」モードを有効化してみてください。,
tips2,Want to compete with your friends? Log in to facebook and invite them in for a challenge,"Muốn so tài cùng bạn bè? Rất đơn giản, chỉ cần đăng nhập Facebook, mời bạn bè cùng chơi game và thoải mái so tài",,友達と競い合って遊びませんか？ Facebookでログインして、友達をチャレンジに招待しましょう,
tips3,"Want more Free Diamonds? Play a song, and try to last long, maybe you will find some lurking around","Bạn muốn có thêm Kim cương? Chọn một bài yêu thích rồi chơi thật lâu, rất có thể Kim cương sẽ xuất hiện",,「さらに多くの無料ダイヤモンドを取得しませんか？ 曲をできるだけ長く再生し続けると、もっと沢山のダイヤモンドを見つける事ができるかもしれません。」,
unityadstitle,Watch a short clip for Diamonds,"Xem một đoạn clip ngắn, nhận kim cương",,ショートクリップを閲覧して、ダイヤモンドを獲得しましょう,
unityadssubtle,That also helps us a lot,"Đồng thời, bạn cũng đã giúp chúng tôi cải thiện game",,これにより、当社をサポートしていただけます,
watchunityads,Get it!!!,Nhận thưởng,,獲得,
fbtitle,First login with Facebook to get,Đăng nhập lần đầu và nhận,,Facebookに初回登録で獲得,
fbsubtle,And increase maximum life to 30,Và tăng số “mạng” tối đa lên 30,,ライフの最高数を３０まで増加させましょう,
fblogin,Login,Quà cho lần đăng nhập đầu tiên,,最初のログインに対する報酬,
fbinvite_title,"The more, the merrier","Thêm bạn, thêm vui",,「多ければ多いほど良いです」,
fbinvite_subtitle,Invite friends to enjoy the game together,"Giới thiệu game cho bạn bè, cùng thưởng thức nhạc hay",,友達を招待して、一緒にゲームをお楽しみください,
btn_fb_invite,Invite,Mời,,招待,
playsongs,PLAY,PLAY,,遊ぶ,
deficientstarunlocksongs, more stars to unlock, sao nữa để mở khóa,,さらに沢山の星をアンロックできます,
song_suggestunlock,UNLOCK NOW?,MỞ KHÓA NGAY?,,今すぐアンロックしますか？,
setting_sound,Sound effect,Hiệu ứng khi bấm nút,,サウンドエフェクト,
setting_feedback,Feedback,Góp ý,,フィードバック,
setting_crosspromotion,Play another instrument,Thử game mới nào,,新しいゲーム,
setting_suggestasong,Suggest a song,Yêu cầu bài hát,,曲をお勧めする,
setting_rateus,Rate us,5 sao nha,),評価をお願いいたします,
setting_login,Log in,Đăng nhập,,ログインする,
setting_pianochallenge,Piano Challenge,Piano Challenge,,ピアノ チャレンジ,
setting_perfmode,Best performance,Tăng tốc game,,最高のパフォーマンス,
setting_noads,Remove ads,VIP,,広告を非表示にする,
pu_continue_btncontinue,Continue,Chơi tiếp,,続ける,
pu_continue_encourage1,[4E4E4EFF]Only [FF6347],[4E4E4EFF]Chỉ cần [FF6347],[4E4E4EFF]Only [FF6347],[4E4E4EFF]のみ [FF6347],
pu_continue_encourage2,[-] more \n to reach highscore.\n Continue?,[-] điểm nữa \n để đạt kỉ lục mới.\n Tiếp luôn không?,[-] more \n to reach highscore.\n Continue?,[-] さらに高い \n ハイスコアを目指しましょう。\n 続行しますか？,
pu_continue_encourage3,[4E4E4EFF]New Highscore [FF6347],[4E4E4EFF]Đã đạt kỉ lục mới [FF6347],[4E4E4EFF]New Highscore [FF6347],[4E4E4EFF]新しいハイスコア[FF6347],
pu_continue_encourage4,[-]!!!\n Raise the bar higher ?,[-]!!!\n Bạn có muốn nâng điểm cao hơn ?,[-]!!!\n Raise the bar higher ?,[-]!!!\n バーをより高く設定しますか？,
pu_continue_supportive1,[4E4E4EFF]Only [FF6347],[4E4E4EFF]Chỉ cần [FF6347],[4E4E4EFF]Only [FF6347],[4E4E4EFF]のみ [FF6347],
pu_continue_supportive2,[-] more for,[-] điểm nữa để đạt,[-] more for,[-] 多くします、次の項目向け,
pu_rate_title,How much do you like this game?,Bạn thấy game này thế nào?,,ゲームは気に入っていただけましたか？,
pu_rate_ratebutton,Rate us,Chấm điểm,,評価する,
pu_rate_message,"Sorry to hear that, would you mind telling us why you don’t like the game?","Buồn vậy, bạn có thể cho chúng tôi biết lý do không?",,「とても残念です。もし宜しければ、ゲームを気に入っていただけなかった理由をお聞かせいただけませんか？」,
pu_rate_option1,Game is lagging,Game không mượt,,ゲームに遅延が生じています,
pu_rate_option2,"I touched it right, the game said it’s missed",Rõ ràng chạm trúng nốt rồi mà bảo không trúng,,「正確なタイミングでタップしたのに、外れとして認識されてしまいます」,
pu_rate_option3,I want more songs,Thêm nhiều bài hát nữa,,もっと沢山の曲で遊びたいです,
pu_rate_option4,Other reasons? Tell us,Lý do khác…,,その他の理由ですか？是非お知らせください,
pu_rate_thankyoumessage,Thank you for letting us know,Cám ơn bạn đã trả lời phỏng vấn,,お知らせいただき、ありがとうございます,
pu_rate_star1,This game can go to hell for all I care,Game cùi bắp,,最悪のゲームです。全然面白くありません,
pu_rate_star2,"The game is bad, but I will play if it’s got better","Game không hay, nhưng cải thiện lên thì sẽ chơi",,「遊びにくいゲームです。もし、ゲームが改善されたら遊びます。」,
pu_rate_star3,"It’s cool, but I want more","Cũng tạm, nhưng cần cải thiện thêm",,「良いゲームです。だけどもっと改良されたら良いなと思います」,
pu_rate_star4,I like it,Game khá cool,,良いゲームです,
pu_rate_star5,I love this game,Game đỉnh đấy,,私はこのゲームが大好きです,
pu_noads_title,Remove Ads?,VIP,,広告を非表示にしますか？,
pu_noads_postpone_title,Postpone ads,,,,
pu_noads_postpone_subtitle,Watch a short clip to prevent ads from popping up for 10 minutes,,,,
pu_noads_postpone_button,Postpone,,,,
pu_noads_noads_title,Remove Ads,VIP,,広告を非表示にする,
pu_noads_noads_subtitle,One time payment to get rid of all ads in this game. Enjoy the game to the fullest,"Cấp độ thành viên cao nhất trong game, không còn quảng cáo xuất hiện làm phiền bạn nữa.",,一度購入すると、全ての広告が非表示に設定されます。 最高のコンディションで、ゲームを十分にお楽しみください,
pu_noads_restore_title,Restore Transaction,Đã là VIP?,,購入をリストアする,
pu_noads_restore_subtitle,"Already purchased this item? Then no need to worry, click on Restore and ads will be no more",Bạn đã nâng cấp trong các phiên bản trước? Chỉ cần bấm vào nút Khôi phục là trạng thái thành viên của bạn sẽ được cập nhật ngay,,「このアイテムは購入済みですか？ご心配なく。リストアをクリックすると、広告は非表示に設定されます」,
pu_noads_btn_restore,Restore,Khôi phục,,リストア,
pu_exit_title,Are you sure you want to quit the game?,Bạn muốn tắt game?,,,
pu_exit_btn_no,Play more,"Không, đùa thôi",,,
pu_exit_btn_yes,Quit game,Tắt game,,,
pu_rewardloadfailed_title,"Video reward failed to load, please try again later","Không tải được phim, vui lòng thử lại sau",,,
pu_rewardloadfailed_btn_ok,OK,OK,,,
pu_daily_claim,Claim,Nhận,,クレーム,
pu_daily_day,Day,Ngày,,日,
pu_daily_title,Daily Reward,Phần thưởng mỗi ngày,,毎日の報酬,
pu_feedback_title,Feedback,Góp ý,,フィードバック,
pu_feedback_subject,Encounter a problem? Got any suggestion? Or your favorite song is not on the list? Let us know,Gặp lỗi trong game? Bạn thấy game có thể làm tốt hơn? Bạn đang cô đơn và muốn chat chit?,,なにか問題が発生しましたか？ ご提案などはございませんか？ または、お気に入りの曲をリストから見つける事ができませんか？そんな時は是非、当社にお知らせください,
pu_feedback_inputtext,Press here to type,Nhập nội dung tin nhắn vào đây,,ここを押して入力してください,
pu_feedback_inputemail,Want to hear from us? Put your email here,Muốn nhận phản hồi từ chúng tôi? Để email vào,),ここにあなたのEメールアドレスを入力していただくと、当社から最新ニュースをお届けいたします,
pu_feedback_btnsend,Submit,Gửi,,送信する,
pu_requestsong_title,Request A Song,Yêu cầu bài hát,,曲をリクエストする,
pu_requestsong_btn,Request,Yêu cầu,,リクエストする,
pu_requestsong_subject,Want to play your favorite song? Or want to promote your good one? We will happy to be of service,Bạn muốn thêm bài hát yêu thích? Hay bạn sáng tác nhạc và muốn lăng xê?,,お気に入りの曲で遊びたい？またはあなたの曲を使ってほしい？喜んで対応いたします,
pu_requestsong_btn_submit,Sending message...,Đang gửi…,,メッセージを送信します...,
pu_requestsong_btn_done,Done,Xong,,完了,
pu_requestsong_megss,Message must be longer than 8 characters,Nội dung tin nhắn phải dài hơn 8 ký tự,,メッセージは８文字以上入力していただく必要があります,
pu_requestsong_email_megss,Email is invalid,Email không hợp lệ,,Eメールアドレスが無効です,
pu_iap_tittle,Diamonds Shop,Cửa hàng,,ダイヤモンド ショップ,
pu_iap_adsreward,FREE,FREE,,無料,
pu_life_title,Need more lives?,Thêm mạng?,,もっと沢山のライフが必要ですか？,
pu_megss_btnlocal,Current data,Dữ liệu trong máy,,現在のデータ,
pu_megss_btnserver,Server data,Dữ liệu máy chủ,,サーバーデータ,
pu_megss_title,The game data on your device and our server do not look alike. Which data would you like to use?,Dữ liệu trong máy của bạn không khớp với dữ liệu trên máy chủ. Bạn muốn sử dụng phiên bản nào?,,あなたのデバイス上のサーバーデータと当社のサーバーデータは同じ物ではありません。どちらのデータをご利用になりますか？,
pu_chooselanguage_choose,Choose,Chọn,,選択する,
pu_chooselanguage_title,Choose language,Chọn ngôn ngữ,,言語を選択する,
pu_leaderboard_title,Leader board,Bảng xếp hạng,,リーダーボード,
pu_leaderboard_loginmessage,Login to Facebook to view your ranking,Đăng nhập Facebook để xem bảng xếp hạng,,ランキングを閲覧するにはFacebookでログインする必要があります,
pu_invitefriend_title,Invite friends,Mời bạn bè,,友達を招待する,
